Date Saved,12/05/2026 15:46,,,
Spectral Data 546[nm],0.000817918,,,
Spectral Data 547[nm],0.000655276,,,
Spectral Data 548[nm],0.000474981,,,
Spectral Data 549[nm],0.000289741,,,
Spectral Data 550[nm],0.000103011,,,
Spectral Data 551[nm],0,,,
Spectral Data 552[nm],0,,,
Spectral Data 553[nm],0,,,
Spectral Data 554[nm],0,,,
Spectral Data 555[nm],0,,,
Spectral Data 556[nm],0,,,
Spectral Data 557[nm],0,,,
Spectral Data 558[nm],0,,,
Spectral Data 559[nm],0,,,
Spectral Data 560[nm],0,,,
Spectral Data 561[nm],0,,,
Spectral Data 562[nm],0,,,
Spectral Data 563[nm],0,,,
Spectral Data 564[nm],0,,,
Spectral Data 565[nm],0,,,
Spectral Data 566[nm],0,,,
Spectral Data 567[nm],0,,,
Spectral Data 568[nm],0,,,
Spectral Data 569[nm],0,,,
Spectral Data 570[nm],0,,,
Spectral Data 571[nm],0,,,
Spectral Data 572[nm],0,,,
Spectral Data 573[nm],0,,,
Spectral Data 574[nm],0,,,
Spectral Data 575[nm],0,,,
Spectral Data 576[nm],0,,,
Spectral Data 577[nm],0,,,
Spectral Data 578[nm],0,,,
Spectral Data 579[nm],0,,,
Spectral Data 580[nm],0,,,
Spectral Data 581[nm],0,,,
Spectral Data 582[nm],0,,,
Spectral Data 583[nm],0,,,
Spectral Data 584[nm],0,,,
Spectral Data 585[nm],0,,,
Spectral Data 586[nm],0,,,
Spectral Data 587[nm],0,,,
Spectral Data 588[nm],0,,,
Spectral Data 589[nm],0,,,
Spectral Data 590[nm],0,,,
Spectral Data 591[nm],0,,,
Spectral Data 592[nm],0,,,
Spectral Data 593[nm],0,,,
Spectral Data 594[nm],0,,,
Spectral Data 595[nm],0,,,
Spectral Data 596[nm],0,,,
Spectral Data 597[nm],0,,,
Spectral Data 598[nm],0,,,
Spectral Data 599[nm],0,,,
Spectral Data 600[nm],0,,,
Spectral Data 601[nm],0,,,
Spectral Data 602[nm],0.000111664,,,
Spectral Data 603[nm],0.000242934,,,
Spectral Data 604[nm],0.000352796,,,
Spectral Data 605[nm],0.000448757,,,
Spectral Data 606[nm],0.000541694,,,
Spectral Data 607[nm],0.000642485,,,
Spectral Data 608[nm],0.000762388,,,
Spectral Data 609[nm],0.000917209,,,
Spectral Data 610[nm],0.001124958,,,
Spectral Data 611[nm],0.001403618,,,
Spectral Data 612[nm],0.001771005,,,
Spectral Data 613[nm],0.002238004,,,
Spectral Data 614[nm],0.002807973,,,
Spectral Data 615[nm],0.003484003,,,
Spectral Data 616[nm],0.004269153,,,
Spectral Data 617[nm],0.005160125,,,
Spectral Data 618[nm],0.006139433,,,
Spectral Data 619[nm],0.007187673,,,
Spectral Data 620[nm],0.008285439,,,
Spectral Data 621[nm],0.009420576,,,
Spectral Data 622[nm],0.010616713,,,
Spectral Data 623[nm],0.011908511,,,
Spectral Data 624[nm],0.013330631,,,
Spectral Data 625[nm],0.014917111,,,
Spectral Data 626[nm],0.016694563,,,
Spectral Data 627[nm],0.018684711,,,
Spectral Data 628[nm],0.020909201,,,
Spectral Data 629[nm],0.023389675,,,
Spectral Data 630[nm],0.026147645,,,
Spectral Data 631[nm],0.029204465,,,
Spectral Data 632[nm],0.032581475,,,
Spectral Data 633[nm],0.036301222,,,
Spectral Data 634[nm],0.040393695,,,
Spectral Data 635[nm],0.044875044,,,
Spectral Data 636[nm],0.049770784,,,
Spectral Data 637[nm],0.055106424,,,
Spectral Data 638[nm],0.060914055,,,
Spectral Data 639[nm],0.067246407,,,
Spectral Data 640[nm],0.074163422,,,
Spectral Data 641[nm],0.081725091,,,
Spectral Data 642[nm],0.089983471,,,
Spectral Data 643[nm],0.09894868,,,
Spectral Data 644[nm],0.108613156,,,
Spectral Data 645[nm],0.118969157,,,
Spectral Data 646[nm],0.130018339,,,
Spectral Data 647[nm],0.141839966,,,
Spectral Data 648[nm],0.154559344,,,
Spectral Data 649[nm],0.168302923,,,
Spectral Data 650[nm],0.183183178,,,
Spectral Data 651[nm],0.19908455,,,
Spectral Data 652[nm],0.215706497,,,
Spectral Data 653[nm],0.232743219,,,
Spectral Data 654[nm],0.249880716,,,
Spectral Data 655[nm],0.266621411,,,
Spectral Data 656[nm],0.282254666,,,
Spectral Data 657[nm],0.296054691,,,
Spectral Data 658[nm],0.307298899,,,
Spectral Data 659[nm],0.315496445,,,
Spectral Data 660[nm],0.3205387,,,
Spectral Data 661[nm],0.322352827,,,
Spectral Data 662[nm],0.320867032,,,
Spectral Data 663[nm],0.316055715,,,
Spectral Data 664[nm],0.307989776,,,
Spectral Data 665[nm],0.296759069,,,
Spectral Data 666[nm],0.282453209,,,
Spectral Data 667[nm],0.265320927,,,
Spectral Data 668[nm],0.246223688,,,
Spectral Data 669[nm],0.226145655,,,
Spectral Data 670[nm],0.206071034,,,
Spectral Data 671[nm],0.186877713,,,
Spectral Data 672[nm],0.168846428,,,
Spectral Data 673[nm],0.152013421,,,
Spectral Data 674[nm],0.13641271,,,
Spectral Data 675[nm],0.122075476,,,
Spectral Data 676[nm],0.108991243,,,
Spectral Data 677[nm],0.097118311,,,
Spectral Data 678[nm],0.086414218,,,
Spectral Data 679[nm],0.076835722,,,
Spectral Data 680[nm],0.068303213,,,
Spectral Data 681[nm],0.060685899,,,
Spectral Data 682[nm],0.053849157,,,
Spectral Data 683[nm],0.047658388,,,
Spectral Data 684[nm],0.042001031,,,
Spectral Data 685[nm],0.036824517,,,
Spectral Data 686[nm],0.032086369,,,
Spectral Data 687[nm],0.027744129,,,
Spectral Data 688[nm],0.023764959,,,
Spectral Data 689[nm],0.02016966,,,
Spectral Data 690[nm],0.016997643,,,
Spectral Data 691[nm],0.014288318,,,
Spectral Data 692[nm],0.012076291,,,
Spectral Data 693[nm],0.010333418,,,
Spectral Data 694[nm],0.00898945,,,
Spectral Data 695[nm],0.007973475,,,
Spectral Data 696[nm],0.007214005,,,
Spectral Data 697[nm],0.006610365,,,
Spectral Data 698[nm],0.006025649,,,
Spectral Data 699[nm],0.005321103,,,
Spectral Data 700[nm],0.004358353,,,
Spectral Data 701[nm],0.003104104,,,
Spectral Data 702[nm],0.001773101,,,
Spectral Data 703[nm],0.000615862,,,
Spectral Data 704[nm],0,,,
Spectral Data 705[nm],0,,,
Spectral Data 706[nm],6.94766E-05,,,
Spectral Data 707[nm],0.000563082,,,
Spectral Data 708[nm],0.000972529,,,
Spectral Data 709[nm],0.001054361,,,
Spectral Data 710[nm],0.000790081,,,
Spectral Data 711[nm],0.000300801,,,
Spectral Data 712[nm],0,,,
Spectral Data 713[nm],0,,,
Spectral Data 714[nm],0,,,
Spectral Data 715[nm],0,,,
Spectral Data 716[nm],0,,,
Spectral Data 717[nm],0,,,
Spectral Data 718[nm],0,,,
Spectral Data 719[nm],0,,,
Spectral Data 720[nm],0,,,
Spectral Data 721[nm],0.000153549,,,
Spectral Data 722[nm],0.000245054,,,
Spectral Data 723[nm],9.66196E-05,,,
Spectral Data 724[nm],0,,,
Spectral Data 725[nm],0,,,
Spectral Data 726[nm],0,,,
Spectral Data 727[nm],0,,,
Spectral Data 728[nm],0,,,
Spectral Data 729[nm],0,,,
Spectral Data 730[nm],0,,,
Spectral Data 731[nm],0,,,
Spectral Data 732[nm],0,,,
Spectral Data 733[nm],0,,,
Spectral Data 734[nm],0,,,
Spectral Data 735[nm],0,,,
Spectral Data 736[nm],0,,,
Spectral Data 737[nm],0,,,
Spectral Data 738[nm],0,,,
Spectral Data 739[nm],0,,,
Spectral Data 740[nm],0,,,
Spectral Data 741[nm],0,,,
Spectral Data 742[nm],0,,,
Spectral Data 743[nm],0,,,
Spectral Data 744[nm],0,,,
Spectral Data 745[nm],0,,,
Spectral Data 746[nm],0,,,
Spectral Data 747[nm],0,,,
Spectral Data 748[nm],0,,,
Spectral Data 749[nm],0,,,
Spectral Data 750[nm],6.37981E-05,,,
Spectral Data 751[nm],0.000147338,,,
Spectral Data 752[nm],0.000167416,,,
Spectral Data 753[nm],0.000126018,,,
Spectral Data 754[nm],3.69574E-05,,,
Spectral Data 755[nm],0,,,
Spectral Data 756[nm],0,,,
Spectral Data 757[nm],0,,,
Spectral Data 758[nm],0,,,
Spectral Data 759[nm],0,,,
Spectral Data 760[nm],0,,,
Spectral Data 761[nm],0,,,
Spectral Data 762[nm],0,,,
Spectral Data 763[nm],0,,,
Spectral Data 764[nm],0,,,
Spectral Data 765[nm],0,,,
Spectral Data 766[nm],0,,,
Spectral Data 767[nm],0,,,
Spectral Data 768[nm],0,,,
Spectral Data 769[nm],0,,,
Spectral Data 770[nm],0,,,
Spectral Data 771[nm],0,,,
Spectral Data 772[nm],0,,,
Spectral Data 773[nm],0,,,
Spectral Data 774[nm],0,,,
Spectral Data 775[nm],0,,,
Spectral Data 776[nm],0,,,
Spectral Data 777[nm],0,,,
Spectral Data 778[nm],0,,,
Spectral Data 779[nm],0,,,
Spectral Data 780[nm],0,,,
,,,,
TM-30 Color Vector Graphic,Reference Illuminant x,Reference Illuminant y,Measured Illuminant x,Measured Illuminant y
bin1,-3,-3,-3,-3
bin2,-3,-3,-3,-3
bin3,-3,-3,-3,-3
bin4,-3,-3,-3,-3
bin5,-3,-3,-3,-3
bin6,-3,-3,-3,-3
bin7,-3,-3,-3,-3
bin8,-3,-3,-3,-3
bin9,-3,-3,-3,-3
bin10,-3,-3,-3,-3
bin11,-3,-3,-3,-3
bin12,-3,-3,-3,-3
bin13,-3,-3,-3,-3
bin14,-3,-3,-3,-3
bin15,-3,-3,-3,-3
bin16,-3,-3,-3,-3
